Address, Area, Size(in m^2), Price(in NOK), Bedrooms 
Valdresgata 19, Oslo,54 ,4 300 000,1
Bergensgata 40 A, Oslo,84 ,7 700 000,2
Jerikoveien 53A, Oslo,83 ,3 900 000,3
Parkveien 64, Oslo,48 ,4 600 000,2
St. Jørgens vei 65, Oslo,65 ,4 950 000,2
Grefsenveien 94A, Oslo,52 ,3 950 000,1
Stallerudveien 37, Oslo,138 ,7 500 000,3
Folkvangveien 22C, Oslo,70 ,3 900 000,2
Colletts gate 65, Oslo,56 ,4 900 000,2
Ullernkollen 12, Oslo,210 ,19 500 000 ,NaN
RØAKOLLEN HUS D TRINN 2 - Nye 3- og 4-roms borettslagsleiligheter, Oslo,66 ,3 200 000 ,NaN
 Kikut hus C1, Oslo,109 ,10 400 000 ,NaN
Fyrstikkbakken 14 - Bygg A, Oslo,32 ,1 300 000 ,NaN
Sars' gate 52, Oslo,35 ,3 300 000,1
Platous gate 2B, Oslo,49 ,3 900 000,2
Enerhauggata 1, Oslo,35 ,3 450 000,NaN
Ekebergveien 29 B (andel 26), Oslo,32 ,2 550 000,1
Sporveisgata 8 A, Oslo,65 ,4 900 000 ,NaN
Ekebergveien 29 B (andel 25), Oslo,30 ,2 800 000,1
Prost Hallings vei 41 a, Oslo,49 ,3 490 000,2
Solskinnsveien 17, Oslo,NaN,NaN,NaN
Dr. Dedichens vei 114, Oslo,80 ,3 990 000,2
Sveriges gate 15A, Oslo,52 ,4 500 000,1
Kalbakkveien 13A, Oslo,70 ,3 450 000,2
LÅVEVEIEN 52 B, Oslo,89 ,4 800 000,2
Valdresgata 5, Oslo,54 ,4 190 000,1
Sarpsborggata 1, Oslo,NaN,NaN,4
Solheimgata 11, Oslo,81 ,7 990 000,3
Nico Hambros vei 131, Oslo,58 ,2 990 000,1
Ravnkollbakken 46, Oslo,84 ,2 850 000,3
Thurmanns gate 16A, Oslo,67 ,5 000 000,3
Etterstadkroken 7B, Oslo,54 ,3 800 000,1
Birger Olivers vei 31, Oslo,231 ,13 900 000,6
Kruttveien 4B, Oslo,74 ,5 600 000,2
Pareliusveien 2B, Oslo,80 ,8 200 000,2
Solveien 34, Oslo,357 ,27 500 000,5
Skullerudveien 59, Oslo,56 ,3 450 000,2
Oppsalveien 8, Oslo,204 ,14 900 000,NaN
Jonas Dahls vei 41, Oslo,47 ,4 150 000,2
Platous gate 6, Oslo,66 ,3 190 000,2
Etterstadgata 11B, Oslo,45 ,3 880 000,1
General Birchs gate 7B, Oslo,92 ,9 490 000,3
Kranveien 2, Oslo,69 ,3 950 000,2
Herslebs gate 14A, Oslo,105 ,7 200 000,3
Vossegata 18A, Oslo,46 ,3 950 000,1
Smalgangen 24, Oslo,66 ,4 800 000,2
Pareliusveien 48, Oslo,320 ,27 000 000,4
Malerhaugveien 25 - TRINN 3, Oslo,75 ,6 690 000,2
Sigurds gate 20D, Oslo,48 ,3 950 000,2
Maridalsveien 205, Oslo,36 ,2 800 000,NaN
Drammensveien 54A, Oslo,89 ,8 850 000,2
Flintoes gate 4, Oslo,72 ,6 200 000,2
Radarveien 18, Oslo,65 ,3 900 000,2
Åsdalsveien 3, Oslo,129 ,8 950 000,4
Sjøgangen 2, Oslo,40 ,4 850 000,1
Majorstuveien 17C, Oslo,87 ,7 950 000,2
Einars vei 4, Oslo,41 ,3 650 000,1
Sons gate 5 A, Oslo,54 ,4 990 000,1
Turbinveien 42, Oslo,91 ,3 900 000,3
Landingsveien 82, Oslo,57 ,4 100 000,1
Selvbyggerveien 60, Oslo,35 ,3 200 000,1
Etterstadsletta 63A, Oslo,67 ,4 800 000,2
Midtveien 61, Oslo,36 ,2 000 000,1
Kløfterhagen 9C, Oslo,102 ,4 500 000,3
Cort Adelers gate 14, Oslo,64 ,5 700 000,2
Toftes gate 19A, Oslo,66 ,5 850 000,2
Vallegata 14B, Oslo,58 ,5 000 000,1
Skogbrynet 37C, Oslo,78 ,6 290 000,2
Maria Dehlis vei 15, Oslo,64 ,2 850 000 ,NaN
Colletts gate 6B, Oslo,85 ,7 150 000,2
Radarveien 38, Oslo,62 ,3 950 000,2
Harald Sohlbergs vei 26, Oslo,91 ,3 800 000,2
Sofienberggata 35G, Oslo,86 ,6 890 000,3
Furuset allé 17E, Oslo,137 ,8 250 000,5
Fyrstikkbakken 14 Hus C, Oslo,86 ,6 285 000 ,NaN
 Torshovhøyden, Oslo,44 ,5 300 000 ,NaN
Gustav Vigelands vei 46, Oslo,50 ,4 690 000,1
Jarlsborgveien 5 1B, Oslo,141 ,13 500 000,4
Brettevilles gate 7, Oslo,54 ,4 200 000,1
Thorvald Meyers gate 14, Oslo,42 ,4 250 000,1
Ulvenveien 119C, Oslo,72 ,3 990 000,2
Ris skolevei 2, Oslo,229 ,15 800 000,6
Grandeveien 2A, Oslo,269 ,25 000 000,3
Rådhusgata 21, Oslo,40 ,4 000 000,1
Bjørn Farmanns gate 14B, Oslo,79 ,6 790 000,2
