Address, Area, Size(in m^2), Price(in NOK), Bedrooms 
Mosekollen 5, Oslo,153 ,11 900 000,4
Sigurd Hoels vei 73, Oslo,50 ,4 850 000,2
Turbinveien 38, Oslo,40 ,2 290 000,1
Seilduksgata 6B, Oslo,60 ,4 750 000,2
Tennisveien 4 C, Oslo,210 ,18 800 000,4
Mikrobølgen 1, Oslo,68 ,3 900 000,2
Sorgenfrigata 34, Oslo,90 ,10 490 000 ,NaN
Biskop Jens Nilssøns gate 20C, Oslo,64 ,4 800 000,2
Fossveien 17, Oslo,72 ,6 200 000,3
Jacob Aalls gate 10B, Oslo,93 ,9 500 000,2
Villaveien 38, Oslo,266 ,32 000 000,5
Balders gate 4, Oslo,69 ,5 990 000,1
Kløfterhagen 27A, Oslo,100 ,5 000 000,3
Åsengata 6C, Oslo,39 ,3 590 000,1
Jonas Reins gate 4, Oslo,93 ,8 800 000,2
Maridalsveien 48, Oslo,78 ,5 990 000,6
Gamle Enebakkvei 71, Oslo,48 ,3 100 000,1
HEYERDAHLS VEI 9 C&D, Oslo,169 ,28 500 000 ,NaN
Vollebekk - Humla Brl - salgstrinn 4 - Visningssenter i Brobekkveien 60, Oslo,34 ,1 572 000 ,NaN
Ekraveien 8, Oslo,133 ,13 850 000,3
Sondrevegen 3G, Oslo,158 ,14 500 000,3
Radarveien 66, Oslo,54 ,3 500 000,1
Akersbakken 25 C, Oslo,82 ,6 400 000,2
Borger Withs gate 21, Oslo,53 ,4 250 000,1
Åsliveien 1D, Oslo,162 ,13 900 000,5
Nedre Skøyen vei 12, Oslo,73 ,7 500 000,2
Karlstadgata 17, Oslo,57 ,4 900 000,2
Biskop Jens Nilssøns gate 16C, Oslo,68 ,4 490 000,2
Mellombølgen 145, Oslo,51 ,3 490 000,1
Skogryggveien 19D, Oslo,135 ,9 990 000,3
Bård Skolemesters vei 18, Oslo,66 ,3 800 000,2
Sloreåsen 12A, Oslo,97 ,4 200 000,3
Jacob Aalls gate 31, Oslo,20 ,2 950 000,1
Hansteens gate 18, Oslo,76 ,7 500 000,2
Vestlisvingen 25, Oslo,85 ,3 800 000,3
Hans Nordahls gate 76, Oslo,39 ,4 000 000,1
Sørkedalsveien 11C, Oslo,75 ,7 700 000,2
Messepromenaden 2, Oslo,51 ,5 100 000,1
Tøyengata 30, Oslo,44 ,3 600 000,1
Alnagata 11, Oslo,58 ,4 100 000,2
Vestlisvingen 76, Oslo,75 ,2 990 000,1
Prost hallings vei 50 B, Oslo,49 ,3 290 000,1
Åkebergveien 18B, Oslo,81 ,5 390 000,3
Pilestredet Park 28, Oslo,42 ,4 190 000,1
Vallegata 22, Oslo,358 ,29 500 000,5
Olav Kyrres gate 8, Oslo,43 ,4 950 000,1
Ingeniørveien 16, Oslo,90 ,3 690 000,3
Schous plass 7B, Oslo,71 ,5 550 000,2
Thorvald Meyers gate 12F, Oslo,60 ,5 840 000,2
Jerikoveien 25A, Oslo,54 ,3 080 000,1
Frydenbergveien 56, Oslo,58 ,5 350 000,2
Skøyenveien 63, Oslo,55 ,5 170 000,2
Tromsøgata 22 A, Oslo,102 ,11 700 000,2
Darres gate 20, Oslo,40 ,4 100 000,1
Orrebakken 14 og 16, Oslo,571 ,31 600 000,5
Drammensveien 103 D og E, Oslo,380 ,45 800 000,6
Inkognito terrasse 5A, Oslo,139 ,12 250 000,2
